season,week,game_type,home_team,away_team,home_score,away_score,result,elo_local_pre,elo_visita_pre,prob_local,elo_local_post,elo_visita_post
2005,14,REG,TEN,HOU,13.0,10.0,3.0,1447.54,1416.08,0.6354,1454.84,1408.79
2005,14,REG,ARI,WAS,13.0,17.0,-4.0,1467.4,1497.69,0.5498,1456.41,1508.69
2005,14,REG,PHI,NYG,23.0,26.0,-3.0,1481.79,1532.47,0.5206,1471.38,1542.88
2005,14,REG,SEA,SF,41.0,3.0,38.0,1571.28,1426.46,0.7699,1575.89,1421.86
2005,14,REG,DAL,KC,31.0,28.0,3.0,1517.38,1535.95,0.5664,1526.05,1527.28
2005,14,REG,DEN,BAL,12.0,10.0,2.0,1554.08,1468.34,0.7043,1560.0,1462.43
2005,14,REG,LAC,MIA,21.0,23.0,-2.0,1539.03,1481.93,0.6688,1525.66,1495.3
2005,14,REG,GB,DET,16.0,13.0,3.0,1437.06,1459.11,0.5615,1445.83,1450.34
2005,14,REG,ATL,NO,36.0,17.0,19.0,1513.56,1444.41,0.684,1519.88,1438.09
2005,15,REG,NE,TB,28.0,0.0,28.0,1527.58,1544.13,0.5693,1536.2,1535.51
2005,15,REG,NYG,KC,27.0,17.0,10.0,1542.88,1527.28,0.614,1550.6,1519.56
2005,15,REG,BUF,DEN,17.0,28.0,-11.0,1453.59,1560.0,0.4407,1444.77,1568.81
2005,15,REG,HOU,ARI,30.0,19.0,11.0,1408.79,1456.41,0.525,1418.29,1446.91
2005,15,REG,IND,LAC,17.0,26.0,-9.0,1612.06,1525.66,0.7051,1597.96,1539.76
2005,15,REG,JAX,SF,10.0,9.0,1.0,1544.6,1421.86,0.7466,1549.67,1416.79
2005,15,REG,MIA,NYJ,24.0,20.0,4.0,1495.3,1442.3,0.6636,1502.03,1435.57
2005,15,REG,MIN,PIT,3.0,18.0,-15.0,1532.19,1523.55,0.6044,1520.1,1535.64
2005,15,REG,NO,CAR,10.0,27.0,-17.0,1438.09,1541.25,0.4453,1429.18,1550.15
2005,15,REG,LA,PHI,16.0,17.0,-1.0,1473.28,1471.38,0.5951,1461.37,1483.28
2005,15,REG,TEN,SEA,24.0,28.0,-4.0,1454.84,1575.89,0.42,1446.44,1584.29
2005,15,REG,DET,CIN,17.0,41.0,-24.0,1450.34,1555.99,0.4418,1441.51,1564.83
2005,15,REG,LV,CLE,7.0,9.0,-2.0,1457.72,1457.09,0.5933,1445.85,1468.96
2005,15,REG,WAS,DAL,35.0,7.0,28.0,1508.69,1526.05,0.5681,1517.32,1517.41
2005,15,REG,CHI,ATL,16.0,3.0,13.0,1543.09,1519.88,0.6243,1550.6,1512.36
2005,15,REG,BAL,GB,48.0,3.0,45.0,1462.43,1445.83,0.6153,1470.12,1438.14
2005,16,REG,CAR,DAL,20.0,24.0,-4.0,1550.15,1517.41,0.6371,1537.41,1530.16
2005,16,REG,CIN,BUF,27.0,37.0,-10.0,1564.83,1444.77,0.7437,1549.96,1459.65
2005,16,REG,CLE,PIT,0.0,41.0,-41.0,1468.96,1535.64,0.4976,1459.01,1545.59
2005,16,REG,HOU,JAX,20.0,38.0,-18.0,1418.29,1549.67,0.4056,1410.18,1557.78
