game_id,season,game_type,week,away_team,away_score,home_team,home_score,result
2005_15_PIT_MIN,2005,REG,15,PIT,18.0,MIN,3.0,-15.0
2005_15_CAR_NO,2005,REG,15,CAR,27.0,NO,10.0,-17.0
2005_15_PHI_STL,2005,REG,15,PHI,17.0,STL,16.0,-1.0
2005_15_SEA_TEN,2005,REG,15,SEA,28.0,TEN,24.0,-4.0
2005_15_CIN_DET,2005,REG,15,CIN,41.0,DET,17.0,-24.0
2005_15_CLE_OAK,2005,REG,15,CLE,9.0,OAK,7.0,-2.0
2005_15_DAL_WAS,2005,REG,15,DAL,7.0,WAS,35.0,28.0
2005_15_ATL_CHI,2005,REG,15,ATL,3.0,CHI,16.0,13.0
2005_15_GB_BAL,2005,REG,15,GB,3.0,BAL,48.0,45.0
2005_16_DAL_CAR,2005,REG,16,DAL,24.0,CAR,20.0,-4.0
2005_16_BUF_CIN,2005,REG,16,BUF,37.0,CIN,27.0,-10.0
2005_16_PIT_CLE,2005,REG,16,PIT,41.0,CLE,0.0,-41.0
2005_16_JAX_HOU,2005,REG,16,JAX,38.0,HOU,20.0,-18.0
2005_16_SD_KC,2005,REG,16,SD,7.0,KC,20.0,13.0
2005_16_TEN_MIA,2005,REG,16,TEN,10.0,MIA,24.0,14.0
2005_16_DET_NO,2005,REG,16,DET,13.0,NO,12.0,-1.0
2005_16_SF_STL,2005,REG,16,SF,24.0,STL,20.0,-4.0
2005_16_ATL_TB,2005,REG,16,ATL,24.0,TB,27.0,3.0
2005_16_NYG_WAS,2005,REG,16,NYG,20.0,WAS,35.0,15.0
2005_16_PHI_ARI,2005,REG,16,PHI,21.0,ARI,27.0,6.0
2005_16_OAK_DEN,2005,REG,16,OAK,3.0,DEN,22.0,19.0
2005_16_IND_SEA,2005,REG,16,IND,13.0,SEA,28.0,15.0
2005_16_CHI_GB,2005,REG,16,CHI,24.0,GB,17.0,-7.0
2005_16_MIN_BAL,2005,REG,16,MIN,23.0,BAL,30.0,7.0
2005_16_NE_NYJ,2005,REG,16,NE,31.0,NYJ,21.0,-10.0
2005_17_DEN_SD,2005,REG,17,DEN,23.0,SD,7.0,-16.0
2005_17_NYG_OAK,2005,REG,17,NYG,30.0,OAK,21.0,-9.0
2005_17_CAR_ATL,2005,REG,17,CAR,44.0,ATL,11.0,-33.0
2005_17_BAL_CLE,2005,REG,17,BAL,16.0,CLE,20.0,4.0
2005_17_SEA_GB,2005,REG,17,SEA,17.0,GB,23.0,6.0
